81000: tensor(4.5285e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
82000: tensor(4.3775e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
83000: tensor(4.2325e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
84000: tensor(4.0934e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
85000: tensor(3.9596e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
86000: tensor(3.8303e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
87000: tensor(3.7058e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
88000: tensor(3.5859e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
89000: tensor(3.4704e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
90000: tensor(3.3592e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
91000: tensor(3.2523e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
92000: tensor(3.1494e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
93000: tensor(3.0505e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
94000: tensor(2.9553e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
95000: tensor(2.8636e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
96000: tensor(2.7756e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
97000: tensor(2.6909e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
98000: tensor(2.6094e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
99000: tensor(2.5310e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
100000: tensor(2.4555e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
101000: tensor(2.3828e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
102000: tensor(2.3127e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
103000: tensor(2.2452e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
104000: tensor(2.1802e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
105000: tensor(2.1176e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
106000: tensor(2.0574e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
107000: tensor(1.9993e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
108000: tensor(1.9433e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
109000: tensor(1.8895e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
110000: tensor(1.8376e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
111000: tensor(1.7877e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
112000: tensor(1.7394e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
113000: tensor(1.6927e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
114000: tensor(1.6475e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
115000: tensor(1.6038e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
116000: tensor(1.5618e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
117000: tensor(1.5212e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
118000: tensor(1.4822e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
119000: tensor(1.4444e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
120000: tensor(1.4080e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
121000: tensor(1.3727e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
122000: tensor(1.3385e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
123000: tensor(1.3055e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
124000: tensor(1.2736e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
125000: tensor(1.2428e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
126000: tensor(1.2129e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
127000: tensor(1.1840e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
128000: tensor(1.1561e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
129000: tensor(1.1291e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
130000: tensor(1.1031e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
131000: tensor(1.0780e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
132000: tensor(1.0536e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
133000: tensor(1.0302e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
134000: tensor(1.0075e-05, dtype=torch.float64, grad_fn=<MeanBackward0>)
135000: tensor(9.8558e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
136000: tensor(9.6434e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
137000: tensor(9.4376e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
138000: tensor(9.2387e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
139000: tensor(9.0465e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
140000: tensor(8.8607e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
141000: tensor(8.6801e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
142000: tensor(8.5042e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
143000: tensor(8.3341e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
144000: tensor(8.1692e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
145000: tensor(8.0089e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
146000: tensor(7.8530e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
147000: tensor(7.7018e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
148000: tensor(7.5550e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
149000: tensor(7.4124e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
150000: tensor(7.2742e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
151000: tensor(7.1396e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
152000: tensor(7.0086e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
153000: tensor(6.8811e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
154000: tensor(6.7568e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
155000: tensor(6.6357e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
156000: tensor(6.5180e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
157000: tensor(6.4035e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
158000: tensor(6.2927e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
159000: tensor(6.1843e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
160000: tensor(6.0783e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
161000: tensor(5.9749e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
162000: tensor(5.8749e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
163000: tensor(5.7773e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
164000: tensor(5.6821e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
165000: tensor(5.5899e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
166000: tensor(5.5006e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
167000: tensor(5.4140e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
168000: tensor(5.3293e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
169000: tensor(5.2466e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
170000: tensor(5.1661e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
171000: tensor(5.0876e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
172000: tensor(5.0110e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
173000: tensor(4.9363e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
174000: tensor(4.8639e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
175000: tensor(4.7941e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
176000: tensor(4.7267e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
177000: tensor(4.6612e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
178000: tensor(4.5970e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
179000: tensor(4.5341e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
180000: tensor(4.4726e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
181000: tensor(4.4124e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
182000: tensor(4.3538e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
183000: tensor(4.2964e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
184000: tensor(4.2402e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
185000: tensor(4.1850e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
186000: tensor(4.1311e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
187000: tensor(4.0783e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
188000: tensor(4.0264e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
189000: tensor(3.9757e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
190000: tensor(3.9261e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
191000: tensor(3.8772e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
192000: tensor(3.8293e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
193000: tensor(3.7825e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
194000: tensor(3.7362e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
195000: tensor(3.6909e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
196000: tensor(3.6469e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
197000: tensor(3.6037e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
198000: tensor(3.5611e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
199000: tensor(3.5194e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
200000: tensor(3.4788e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
201000: tensor(3.4389e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
202000: tensor(3.3998e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
203000: tensor(3.3613e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
204000: tensor(3.3239e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
205000: tensor(3.2873e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
206000: tensor(3.2514e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
207000: tensor(3.2159e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
208000: tensor(3.1809e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
209000: tensor(3.1465e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
210000: tensor(3.1126e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
211000: tensor(3.0792e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
212000: tensor(3.0466e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
213000: tensor(3.0147e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
214000: tensor(2.9833e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
215000: tensor(2.9524e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
216000: tensor(2.9222e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
217000: tensor(2.8928e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
218000: tensor(2.8639e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
219000: tensor(2.8355e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
220000: tensor(2.8076e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
221000: tensor(2.7803e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
222000: tensor(2.7535e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
223000: tensor(2.7271e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
224000: tensor(2.7011e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
225000: tensor(2.6756e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
226000: tensor(2.6507e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
227000: tensor(2.6259e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
228000: tensor(2.6016e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
229000: tensor(2.5778e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
230000: tensor(2.5546e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
231000: tensor(2.5319e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
232000: tensor(2.5095e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
233000: tensor(2.4874e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
234000: tensor(2.4657e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
235000: tensor(2.4442e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
236000: tensor(2.4230e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
237000: tensor(2.4021e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
238000: tensor(2.3816e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
239000: tensor(2.3613e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
240000: tensor(2.3413e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
241000: tensor(2.3216e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
242000: tensor(2.3021e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
243000: tensor(2.2829e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
244000: tensor(2.2639e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
245000: tensor(2.2452e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
246000: tensor(2.2269e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
247000: tensor(2.2088e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
248000: tensor(2.1910e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
249000: tensor(2.1734e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
250000: tensor(2.1561e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
251000: tensor(2.1390e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
252000: tensor(2.1222e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
253000: tensor(2.1056e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
254000: tensor(2.0892e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
255000: tensor(2.0729e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
